,Name,MIP Variables (from CMOR Variables),CF Standard Name (from MIP Variables) 2 (from CMOR Variables),Title (from CMOR Variables),Structure Title (from CMOR Variables),Shortlist,V1.1,Version 1.2,Version 1.3,Summary,v1.3 (standard(,Modeling Realm (from CMOR Variables),Fixed,History,V1.3 (high)
reckpphvPwdZh6ODh,fx.zfull,zfull,height_above_reference_ellipsoid,Altitude of Model Full-Levels,"""Instantaneous value (i.e. synoptic or time-step value),, Global field on soil levels [XY-S] [amn-tpt]""",fx.zfull,fx.zfull,True,,Summary,,atmos,True,Removed following review of corrected ESGF download stats.,
reckqpj3lNeYmp6aB,Amon.prw,prw,atmosphere_mass_content_of_water_vapor,Water Vapor Path,Time and Area Mean on Single Level,Amon.prw,Amon.prw,True,True,Summary,Amon.prw,atmos,,,
recl0JHH1qqVMDhHw,Omon.hfds,hfds,surface_downward_heat_flux_in_sea_water,Downward Heat Flux at Sea Water Surface,"""Time and Area Mean on Single Level, Masked (Sea)""",Omon.hfds,Omon.hfds,True,True,Summary,Omon.hfds,ocean,,,
reclm8ICFDP1BtlfM,day.va,va,northward_wind,Northward Wind,Time-Mean on 8 Pressure Levels,day.va,day.va,True,True,Summary,,atmos,,,day.va
recm3T6NWczoliIvl,3hr.vas,vas,northward_wind,Northward Near-Surface Wind,Synoptic Near-Surface Field (10m),3hr.vas,3hr.vas,True,True,Summary,,atmos,,,3hr.vas
recmWQMS9iUr0x9sa,fx.mrsofc,mrsofc,soil_moisture_content_at_field_capacity,Capacity of Soil to Store Water (Field Capacity),"""Model Configuration Surface Field, Area Mean, Masked (Land)""",fx.mrsofc,fx.mrsofc,True,True,Summary,,land,True,,
recmdqlRYeC6s32WN,day.huss,huss,specific_humidity,Near-Surface Specific Humidity,Time-Mean Near-Surface Field (2m),day.huss,day.huss,True,True,Summary,day.huss,atmos,,,
recmjCFivsFoaOmmL,Amon.ts,ts,surface_temperature,Surface Temperature,Time and Area Mean on Single Level,Amon.ts,Amon.ts,True,True,Summary,Amon.ts,atmos,,,
recnHv05iskDcuHfB,CFday.ta,,,,,CFday.ta,,,,Summary,,,,,
recnQonzVQfwjc2Mi,Amon.zg,zg,geopotential_height,Geopotential Height,Time-Mean on 19 Pressure Levels,Amon.zg,Amon.zg,True,True,Summary,Amon.zg,atmos,,,
recnRD3hd13SmVubR,Efx.fldcapacity,fldcapacity,volume_fraction_of_condensed_water_in_soil_at_field_capacity,Field Capacity,Time Invariant Global Field on Soil Levels [XY-na] {sdepth:} [amla],Efx.fldcapacity,Efx.fldcapacity,True,,Summary,,land,True,"Removed following review of corrected ESGF download stats.
",
reco0tpjcwkVUHkbu,Omon.masscello,masscello,sea_water_mass_per_unit_area,Ocean Grid-Cell Mass per Area,"""Temporal mean, Global ocean field on model levels [XY-O] [asm-tmean]""",,Omon.masscello,True,True,Summary,,ocean,,,Omon.masscello
recoTMqWs6pN2cdim,Amon.tasmax,tasmax,air_temperature,Daily Maximum Near-Surface Air Temperature,"""Temporal mean, Global field (single level) [XY-na] {:height2m} [dmax]""",Amon.tasmax,Amon.tasmax,True,True,Summary,Amon.tasmax,atmos,,,
recosRfyDRCNCvoMZ,Lmon.evspsblsoi,evspsblsoi,water_evaporation_flux_from_soil,Water Evaporation from Soil,"""Time and Area Mean on Single Level, Masked (Land)""",Lmon.evspsblsoi,Lmon.evspsblsoi,True,True,Summary,Lmon.evspsblsoi,land,,,
