,Compound Name,CF Standard Name (from MIP Variables),Title,Description,Type,Modeling Realm,Table,Frequency,Status,Theme,Atmosphere author team review,CMIP7 Variable Groups,UID,Min Rank,Processing Note,Provenance,Priority 2 (CMIP6 - OLD,Priority 1 (CMIP6) -- OLD,Rank by File Count,Rank by Volume,Rank by Submissions,Positive Direction,Impacts & adaptation author team review,Priority 3 (CMIP6 - OLD),Variable is included in ESM-BCV v1.3,Ocean & sea-ice author team review,Cross-thematic team review,Cross-thematic group review comment,Land & land-ice author team review,Priority 2 (CMIP6),Priority 1 (CMIP6),Atmosphere review comment,Priority 3 (CMIP6),Earth system author team review
recI1S40K7IN83GV2,E3hrPt.so2,mole_fraction_of_sulfur_dioxide_in_air,Surface SO2 volume mixing ratio at CF sites,"This variable represents the instantaneous surface so2 volume mixing ration at CF sites, sampled every 3 hours
",real,['aerosol'],['E3hrPt'],['3hrPt'],Under review,['Atmosphere'],In progress,aerchemmip_CFsites,83bbfbb2-7f07-11ef-9308-b1dd71e64bec,,"Unsure about which cell method to use here. 
",,,,,,,,,,,,,,,,,,,
recI1drZDFPfxXY7O,Emon.od550so4so,stratosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,Stratospheric Optical Depth at 550nm (Sulphate Only) 2D-Field (Stratosphere Only),"Stratospheric aerosol AOD due to sulfate aerosol at a wavelength of 550 nanometres.
",real,['atmos'],['Emon'],['mon'],CMIP6 CMOR variable,,,,6f6bc796-9acb-11e6-b7ee-ac72891c3257,9999,,PMIP [PMIP-aero-02],,['PMIP'],,,,,,,,,,,,,,,,
recI3ppiVfO2ztlHO,IyrGre.xvelsurf,land_ice_surface_x_velocity,X-Component of Land Ice Surface Velocity,"A velocity is a vector quantity. ""x"" indicates a vector component along the grid x-axis, positive with increasing x. ""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. The surface called ""surface"" means the lower boundary of the atmosphere.
",real,['landIce'],['IyrGre'],['yr'],CMIP6 CMOR variable,,,landice_greenland_allfreq,d5b3d428-c78d-11e6-9b25-5404a60d96b5,1765,,ISMIP6 [IyrGre],['ISMIP6'],,1831,1821,1765,,,,,,,,,,,,,
recI6A2TqGApjS0yy,Oyr.nh4,mole_concentration_of_ammonium_in_sea_water,Dissolved Ammonium Concentration,"Mole concentration means moles (amount of substance) per unit volume and is used in the construction mole\_concentration\_of\_X\_in\_Y, where X is a material constituent of Y.
",real,['ocnBgchem'],['Oyr'],['yr'],CMIP6 CMOR variable,,,,ba9e2158-e5dd-11e5-8482-ac72891c3257,542,,Oyr ((isd.003)),"['CMIP5', 'VIACSAB']",['VIACSAB'],998,542,956,,,,,,,,,,,,,
recI8AR1I2XhdgxeI,Omon.dissi13c,mole_concentration_of_dissolved_inorganic_13C_in_sea_water,Dissolved Inorganic Carbon-13 Concentration,"Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,c4mip_carbon_isotopic_variables,c91aa80a-c5e8-11e6-84e6-5404a60d96b5,9999,"Concentrations of all 3D tracers in the uppermost ocean layer. See first table in Oyr for a complete list of these tracers.  ""Tracer""  concentations should be reported even if they are diagnosed rather than prognostically calculated.
",Omon ((isd.003)),['CMIP5'],['CMIP'],,,,,,"['C4MIP', 'PMIP']",,,,,,,,,,
recI8gX7jMPJEd7q7,CF3hr.reffsnows,effective_radius_of_stratiform_cloud_snow_particles,Hydrometeor Effective Radius of Stratiform Snowfall,"This is defined as the in-cloud ratio of the third moment over the second moment of the particle size distribution (obtained by considering only the cloudy portion of the grid cell).
",real,['atmos'],['CF3hr'],['3hrPt'],CMIP6 CMOR variable,,,cfmip_3hr,bab4efa0-e5dd-11e5-8482-ac72891c3257,9999,,CF3hr ((isd.003)),['CFMIP'],,,,,,,,,,,,,,,,,
recIAdIbQABCKIDfu,Omon.zmisc,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,"carbon from additional zooplankton component concentrations alone (e.g. Micro, meso).  Since the models all have different numbers of components, this variable has been included to provide a check for intercomparison between models since some phytoplankton groups are supersets.
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,"marine_bgc_baseline, c4mip_ocean_carbon_cycle_tier2",c91b5aa2-c5e8-11e6-84e6-5404a60d96b5,9999,"
",Omon ((isd.003)),['OMIP'],,,,,,,['CMIP5'],,,,,,,,,,
recIB0h6dGG1axHig,AERmonZ.hno3,mole_fraction_of_nitric_acid_in_air,HNO3 Volume Mixing Ratio,"Mole fraction is used in the construction mole\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.
",real,['aerosol'],['AERmonZ'],['mon'],CMIP6 CMOR variable,,,aerchemmip_2dZ_monthly,fda6c5d4-96ec-11e6-b81e-c9e268aff03a,761,,AERmonZ ((isd.003)),,['CMIP5'],761,1562,1069,,,,,,,,,,,,,
recICXpwr4VzrARdX,SImon.siitdconc,sea_ice_area_fraction,Sea-Ice Area Percentages in Thickness Categories,"K=ice depth bands
",real,['seaIce'],['SImon'],['mon'],CMIP6 CMOR variable,,,"seaice_state_monthly_advanced, paleo_cryosphere, paleo_cryosphere_high_priority",711b61dc-faa7-11e6-bfb7-ac72891c3257,692,,SIMIP [seaicemon],,,1130,732,692,,,['SIMIP'],,,,,,,,,,
recIDP2zXYIC0hWhv,Amon.clt,cloud_area_fraction,Total Cloud Cover Percentage,"for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.
",real,['atmos'],['Amon'],['mon'],CMIP6 CMOR variable,,,"baseline_monthly, clouds_basic_average, radiativeforcing_monthly, DAMIP_monthly, aerchemmip_2d_monthly, DCPP_Essential, paleo_land_atmosphere_surface, SO_BGC-cloud_cloudvars_monthly, FireMIP_monthly, biodiv_land_monthly, CFMIP_baseline",baaad7e0-e5dd-11e5-8482-ac72891c3257,9,,Amon ((isd.003)),['VIACSAB'],"['CFMIP', 'CMIP', 'CMIP5', 'DCPP', 'ISMIP6', 'PMIP', 'VIACSAB']",18,249,9,,,,1 checked out of 1,,,,,,,,,
recIDX8zSIkJyPpHB,Omon.evs,water_evapotranspiration_flux,Water Evaporation Flux Where Ice Free Ocean over Sea,"computed as the total mass of water vapor evaporating from the ice-free portion of the ocean  divided by the area of the ocean portion of the grid cell.
",real,['ocean'],['Omon'],['mon'],CMIP6 CMOR variable,,,omip_surface_fluxes_medium_priority,baa6204c-e5dd-11e5-8482-ac72891c3257,169,"Report on native horizontal grid.
",Omon ((isd.003)),['CMIP5'],"['CMIP', 'PMIP', 'VIACSAB']",184,544,169,,,,,,,,,,,,,
recIDr4d6sybslN41,SImon.siitdsnthick,surface_snow_thickness,Snow Thickness in Ice Thickness Categories,"K=ice depth bands
",real,['seaIce'],['SImon'],['mon'],CMIP6 CMOR variable,,,"seaice_state_monthly_advanced, paleo_cryosphere, snow_allfreq, paleo_cryosphere_high_priority",713fa34e-faa7-11e6-bfb7-ac72891c3257,898,,SIMIP [seaicemon],,,1135,930,898,,,['SIMIP'],,,,,,,,,,
recIFIXxUYcBeLbbX,Amon.fco2fos,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fossil_fuel_combustion,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2 [kgC m-2 s-1],"This is the prescribed anthropogenic CO2 flux from fossil fuel use, including cement production, and flaring (but not from land-use changes, agricultural burning, forest regrowth, etc.)
",real,['atmos'],['Amon'],['mon'],CMIP6 CMOR variable,,,,baade44e-e5dd-11e5-8482-ac72891c3257,1328,"This is requested only for the emission-driven coupled carbon climate model runs.
",Amon ((isd.003)),,"['CMIP', 'CMIP5', 'VIACSAB']",1328,1544,1463,,,,,,,,,,,,,
recIFvRjnxY7KLUp3,E1hr.rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,"outgoing LW radiation at TOA
",real,['atmos'],['E1hr'],['1hrPt'],CMIP6 CMOR variable,,,,8bb119f8-4a5b-11e6-9cd2-ac72891c3257,1765,,HighResMIP [1hr_strat],,,1848,1848,1765,up,,['HighResMIP'],,,,,,,,,,
recIGFFLLOOa8x1aT,Oyr.po4,mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,Total Dissolved Inorganic Phosphorus Concentration,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole\_concentration\_of\_X\_in\_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox\_expressed\_as\_nitrogen"". ""Dissolved inorganic phosphorus"" means the sum of all inorganic phosphorus in solution (including phosphate, hydrogen phosphate, dihydrogen phosphate, and phosphoric acid).
",real,['ocnBgchem'],['Oyr'],['yr'],CMIP6 CMOR variable,,,,ba9e25a4-e5dd-11e5-8482-ac72891c3257,451,,Oyr ((isd.003)),['VIACSAB'],"['CMIP', 'CMIP5', 'PMIP', 'VIACSAB']",475,451,593,,,['CDRMIP'],,,,,,,,,,
recIHH5OexHWtBNgn,day.wap,lagrangian_tendency_of_air_pressure,Omega (=dp/dt),"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)
",real,['atmos'],['day'],['day'],CMIP6 CMOR variable,,,"baseline_daily, DAMIP_daily, CFMIP_baseline",babd0e56-e5dd-11e5-8482-ac72891c3257,25,,day ((isd.003)),['VIACSAB'],"['CMIP5', 'VIACSAB']",109,25,89,,,,1 checked out of 1,,,,,,,,,
recIJ0CQfdoFXlkUo,AERmon.tropoz,equivalent_thickness_at_stp_of_atmosphere_ozone_content,Tropospheric Ozone Column,"Tropospheric ozone column, should be consistent with definition of tropopause used to calculate the pressure of the tropopause (ptp).
",real,['aerosol'],['AERmon'],['mon'],CMIP6 CMOR variable,,,aerchemmip_2d_monthly,19bff46c-81b1-11e6-92de-ac72891c3257,592,,AERmon ((isd.003)),,['AerChemMIP'],592,1328,839,,,,,,,,,,,,,
recIKAagQklDEZNX5,E3hrPt.mmrnh4,mass_fraction_of_ammonium_dry_aerosol_particles_in_air,Instantaneous surface NH4 aerosol mass mixing ratio at CF sites,"This variable represents the instantaneous surface NH4 Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours
",real,['aerosol'],['E3hrPt'],['3hrPt'],Under review,['Atmosphere'],In progress,aerchemmip_CFsites,83bbfbb7-7f07-11ef-9308-b1dd71e64bec,,"Unsure which cell measures to use here!
",,,,,,,,,,,,,,,,,,,
recIKkb4aN1raQYkl,Oyr.pon,mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,"sum of particulate organic nitrogen component concentrations
",real,['ocnBgchem'],['Oyr'],['yr'],CMIP6 CMOR variable,,,,ba9e4fca-e5dd-11e5-8482-ac72891c3257,798,,Oyr ((isd.003)),['CMIP5'],,1044,798,1159,,,,,,,,,,,,,
recILXtrRa4R62603,Oyr.expn,sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water,Sinking Particulate Organic Nitrogen Flux,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
",real,['ocnBgchem'],['Oyr'],['yr'],CMIP6 CMOR variable,,,,ba9ea916-e5dd-11e5-8482-ac72891c3257,749,"Those who wish to record vertical velocities and vertical fluxes on ocean half-levels may do so. If using CMOR3 you will be required to specify artificial bounds (e.g. located at full model levels) to avoid an error exit.
",Oyr ((isd.003)),"['CMIP5', 'VIACSAB']",['VIACSAB'],1361,749,1463,down,,,,,,,,,,,,
recILbEtbHOhjyI0y,3hr.rlus,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,"This is the 3-hour mean flux.
",real,['atmos'],['3hr'],['3hr'],CMIP6 CMOR variable,,,"landatm_coupling_3hA, urban_impacts_essential",bab59202-e5dd-11e5-8482-ac72891c3257,139,,3hr ((isd.003)),['VIACSAB'],"['CMIP', 'CMIP5', 'VIACSAB']",405,140,139,up,,,,,,,,,,,,
recINVQrw8yJRgOIF,Oday.intpppico,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_picophytoplankton,Net Primary Mole Productivity of Carbon by Picophytoplankton,"Vertically integrated primary (organic carbon) production by the picophytoplankton component alone
",real,['ocnBgchem'],['Oday'],['day'],New,['Ocean & sea-ice'],,,83bbfb81-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,In progress,,,,,,,,
recIPIiXDZQC45PMJ,AERmon.rluto3ref,toa_outgoing_longwave_flux_assuming_reference_mole_fraction_of_ozone_in_air,toa_outgoing_longwave_flux_assuming_reference_mole_fraction_of_ozone_in_air,"This is outgoing longwave flux at the top-of-atmosphere for all-sky conditions from a diagnostic call to the radiation scheme using a reference ozone field
",real,['aerosol'],['AERmon'],['mon'],Under review,['Atmosphere'],In progress,aerchemmip_2d_monthly,83bbfbf0-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,,,,,,,,,
recIPpjjvidZZHD5v,Oday.co3os,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,Surface Carbonate Ion Concentration,"Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).
",real,['ocnBgchem'],['Oday'],['day'],Under review,['Ocean & sea-ice'],,DCPP_Wider,83bbfb91-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,In progress,,,,,,,,
recIPuAehMabgvZMP,SIday.sirdgconc,area_fraction,Percentage Cover of Sea Ice by Ridging ,"Fraction of sea ice, by area, which is covered by sea ice ridges, giving equal weight to every square metre of sea ice .
",real,['seaIce'],['SIday'],['day'],Accepted,['Ocean & sea-ice'],,seaice_state_daily_advanced,83bbfb2f-7f07-11ef-9308-b1dd71e64bec,,"Fraction of sea ice, by area, which is covered by sea ice ridges, giving equal weight to every square metre of sea ice .
",,,,,,,,,,,In progress,Accept,MJ: simple change from existing monthly variable to daily.,,,,,,
recIVQJRP476FuV12,E3hrPt.clmisr,cloud_area_fraction_in_atmosphere_layer,Percentage Cloud Cover as Calculated by the MISR Simulator (Including Error Flag),"MISR optical thickness - height histogram
",real,['atmos'],['E3hrPt'],['3hrPt'],CMIP6 CMOR variable,,,,f294c644-26b8-11e7-8344-ac72891c3257,1230,,CFMIP [CF3hr_sim_new],,['CFMIP'],1757,1441,1230,,,,,,,,,,,,,
recIW79oscZ60h5sb,ImonAnt.ts,surface_temperature,Surface Temperature,"quantity averaged over ice sheet (grounded ice sheet and floating ice shelf) only. Needed to analyse the impact of downscaling methods
",real,"['landIce', 'land']",['ImonAnt'],['mon'],CMIP6 CMOR variable,,,landice_antarctica_allfreq,d5b2f7ce-c78d-11e6-9b25-5404a60d96b5,815,,ISMIP6 [ImonAnt],,['ISMIP6'],815,1308,1463,,,,,,,,,,,,,
recIWmudXPgTkx7nj,E1hr.pr_dup,precipitation_flux,Hourly precipitation rate at the surface,"Hourly precipitation rate at the surface.
",real,['atmos'],['E1hr'],['1hr'],Under review,['Impacts & adaptation'],,,83bbfbc6-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,In progress,,,,,,,,,,,
recIX69BRTA7sH280,E3hrPt.rsucs,upwelling_shortwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Shortwave Radiation,"Upwelling Clear-Sky Shortwave Radiation
",real,['atmos'],['E3hrPt'],['3hrPt'],CMIP6 CMOR variable,,,,7b3068aa-a220-11e6-a33f-ac72891c3257,502,,RFMIP [aero_irf],,['RFMIP'],1534,502,1230,up,,,,,,,,,,,,
recIaKZN9slVItCt8,Emon.mrlso,liquid_water_content_of_soil_layer,Soil Liquid Water Content,"The mass (summed over all all layers) of liquid water.
",real,['land'],['Emon'],['mon'],CMIP6 CMOR variable,,,,8b803752-4a5b-11e6-9cd2-ac72891c3257,332,,C4MIP [C_LandT1],,"['C4MIP', 'PMIP']",745,1080,332,,,,,,,,,,,,,
recIbOq1MdRe9CppT,Omon.epsi100,sinking_mole_flux_of_particulate_silicon_in_sea_water,Downward Flux of Particulate Silicon,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,DCPP_Wider,5a35f1ba-c77d-11e6-8a33-5404a60d96b5,465,"at 100 m depth.
",Omon ((isd.003)),"['DCPP', 'VIACSAB']","['CMIP', 'PMIP', 'VIACSAB']",465,655,564,,,['CMIP5'],,,,,,,,,,
recIc3Wma4XQ8KzWa,IyrGre.topg,bedrock_altitude,Bedrock Altitude,"This is needed in case bed rock elevation changes in time
",real,['landIce'],['IyrGre'],['yr'],CMIP6 CMOR variable,,,landice_greenland_allfreq,d5b3a232-c78d-11e6-9b25-5404a60d96b5,1765,,ISMIP6 [IyrGre],['ISMIP6'],,1848,1848,1765,,,,,,,,,,,,,
recIcTSRfQC4eEtun,CF3hr.prlsns,stratiform_snowfall_flux,Stratiform Snowfall Flux,"large-scale precipitation of all forms of water in the solid phase.
",real,['atmos'],['CF3hr'],['3hrPt'],CMIP6 CMOR variable,,,"cfmip_3hr, snow_allfreq",bab41300-e5dd-11e5-8482-ac72891c3257,352,"report on model half-levels
",CF3hr ((isd.003)),['CFMIP'],,1293,352,1295,,,,,,,,,,,,,
recIdB9zZkz78NR1E,AERmon.rlutcso3ref,toa_outgoing_longwave_flux_assuming_clear_sky_and_reference_mole_fraction_of_ozone_in_air,TOA outgoing longwave flux assuming clear sky and reference ozone field ,"This is the outgoing longwave flux at the top-of-atmosphere for clear-sky conditions from a diagnostic call to the radiation scheme using a reference ozone field
",real,['aerosol'],['AERmon'],['mon'],Under review,['Atmosphere'],In progress,aerchemmip_2d_monthly,83bbfbf1-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,,,,,,,,,
recIdzgTyePpMlcj5,AERmon.cdnc,number_concentration_of_cloud_liquid_water_particles_in_air,Cloud Liquid Droplet Number Concentration,"Cloud Droplet Number Concentration in liquid water clouds.
",real,['aerosol'],['AERmon'],['mon'],CMIP6 CMOR variable,,,"SO_BGC-cloud_atmos_composition_monthly, aerchemmip_3d_monthly, CFMIP_baseline, FireMIP_monthly",19be52f6-81b1-11e6-92de-ac72891c3257,261,,AERmon ((isd.003)),,"['AerChemMIP', 'CFMIP']",394,261,402,,,,,,,,,,,,,
recIeP0vrRJ7d6bFt,Oday.phos,sea_water_ph_reported_on_total_scale,Surface pH,"negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.
",real,['ocnBgchem'],['Oday'],['day'],Under review,['Ocean & sea-ice'],,DCPP_Wider,83bbfb7b-7f07-11ef-9308-b1dd71e64bec,,"On behalf of the DCPP Team, I would like to propose a few variables that the colleagues will need in order to study extreme events in the decadal climate prediction experiments. 
",,,,,,,,,,,In progress,,,,,,,,
recIeq0ZgZpB7kKh2,Emon.cSoilAbove1m,soil_mass_content_of_carbon,Carbon Mass in Soil Pool Above 1m Depth,"Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.
",real,['land'],['Emon'],['mon'],CMIP6 CMOR variable,,,c4mip_land_carbon_cycle_tier1,e70578ba-aa7f-11e6-9a4a-5404a60d96b5,956,,C4MIP [C_Basic],,['C4MIP'],1007,1265,956,,,,,,,,,,,,,
recIg9oGOAtQqTbUK,Oday.co3satarag,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,"Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.
",real,['ocnBgchem'],['Oday'],['day'],Under review,['Ocean & sea-ice'],,DCPP_Wider,83bbfb90-7f07-11ef-9308-b1dd71e64bec,,"The variable at the depth of 200 meters is requested.
",,,,,,,,,,,In progress,,,,,,,,
recIi8LprJne3ABAO,Emon.albsn,surface_albedo,Albedo of Snow ,"Albedo of snow - this is similar to Eday.albsn, but providing monthly averages
",real,"['land', 'ocean']",['Emon'],['mon'],New,"['Atmosphere', 'Ocean & sea-ice', 'Land & land-ice', 'Earth System']",In progress,"paleo_cryosphere, paleo_cryosphere_high_priority",83bbfba3-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,In progress,,,In progress,,,,,In progress
recIialic3g6qaKMj,Oyr.ocontempdiff,tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_dianeutral_mixing,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,"Tendency of heat content for a grid cell from parameterized dianeutral mixing. Reported only for models that use conservative temperature as prognostic field.
",real,['ocean'],['Oyr'],['yr'],CMIP6 CMOR variable,,,omip_budgets,baa46770-e5dd-11e5-8482-ac72891c3257,776,"Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.
",Oyr ((isd.003)),,['FAFMIP'],1564,776,1295,,,['CMIP5'],,,,,,,,,,
recIjVbaUoaj7HJyF,AERmon.emibbvoc,,total emission rate of NMVOC from all biomass burning,"This is the total emission rate of non-methane volatile organic compounds (NMVOCs) from all biomass burning (natural and anthropogenic)
",real,['aerosol'],['AERmon'],['mon'],Under review,['Atmosphere'],In progress,"aerchemmip_2d_monthly, FireMIP_monthly",83bbfc03-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,,,,,,,,,
recIkhcnT5TFkGmC1,AERmon.ch4losssoil,,loss of methane from the atmosphere due to biological consumption in the soil,"This is the loss rate of methane from the atmosphere due to soil sink
",real,['aerosol'],['AERmon'],['mon'],Under review,['Atmosphere'],In progress,"aerchemmip_2d_monthly, land_ch4_fluxes",83bbfc17-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,,,,,,,,,
recIszruNucynPaYx,Emon.vegHeightPasture,canopy_height,Height of Pastures,"Vegetation height averaged over the pasture fraction of a grid cell.
",real,['land'],['Emon'],['mon'],CMIP6 CMOR variable,,,c4mip_land_benchmarking_and_landcover_variables_tier2,e707a4e6-aa7f-11e6-9a4a-5404a60d96b5,1499,,C4MIP [C_LandT2],['C4MIP'],,1499,1654,1765,,,,,,,,,,,,,
recIty6s3Nl05VIWd,AERmon.tntrscs,tendency_of_air_temperature_due_to_shortwave_heating_assuming_clear_sky,Tendency of Air Temperature Due to Clear Sky Shortwave Radiative Heating,"clear-sky shortwave heating rates
",real,['aerosol'],['AERmon'],['mon'],New,['Atmosphere'],,,83bbfbe9-7f07-11ef-9308-b1dd71e64bec,,"Identical to AERmon.tntrs but for clear-sky.
",,,,,,,,,,,,,,,,,,,
recIu1hTRsqnZAuDs,CF3hr.ps,surface_air_pressure,Surface Air Pressure,"Surface Pressure .. needed for vertical coordinates
",real,['atmos'],['CF3hr'],['3hrPt'],CMIP6 CMOR variable,,,cfmip_3hr,1d3e9509489c555a5027e894ae9eda80b2ff7e6f,1507,,scanDreq.py,,,1596,1507,1681,,,,,,,,,,,,,
recIvFA23dHpm0lAF,6hrPlevPt.prw,atmosphere_mass_content_of_water_vapor,6 hourly instantaneous vertically integrated water vapor,"Variable prw but 6 hourly instantaneous
",real,['atmos'],['6hrPlevPt'],['6hrPt'],Under review,['Atmosphere'],In progress,synoptic_systems_high_priority,83bbfc4e-7f07-11ef-9308-b1dd71e64bec,,"I don't think table 6hrPlevPt is appropriate but I'm not sure which one is
",,,,,,,,,,,,,,,,,,,
recJ069bjSPsRN8X5,E3hr.rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,"TOA incident shortwave radiation
",real,['atmos'],['E3hr'],['3hr'],CMIP6 CMOR variable,,,,8bb0bd0a-4a5b-11e6-9cd2-ac72891c3257,367,,HighResMIP [3hr_cloud],['HighResMIP'],,602,367,1069,down,,,,,,,,,,,,
recJ3tGOOa7PhJVvj,Eday.clivic,atmosphere_mass_content_of_convective_cloud_ice,Convective Ice Water Path,"calculate mass of convective ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). This includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.
",real,['atmos'],['Eday'],['day'],CMIP6 CMOR variable,,,CFMIP_baseline,8b8a3932-4a5b-11e6-9cd2-ac72891c3257,722,,CFMIP [CFday_2d_new],,['CFMIP'],1524,722,1401,,,,,,,,,,,,,
recJ83vQEHJ8F0gDz,Eday.hfrs,tendency_of_thermal_energy_content_of_surface_snow_due_to_rainfall_temperature_excess_above_freezing,Heat Transferred to Snowpack by Rainfall,"Heat transferred to snowpack by rainfall
",real,['atmos'],['Eday'],['day'],CMIP6 CMOR variable,,,,d227a58e-4a9f-11e6-b84e-ac72891c3257,9999,,LS3MIP [LEday],,['LS3MIP'],,,,down,,,,,,,,,,,,
recJ8Y4aUvlIDm50x,EdayZ.utendvtem,tendency_of_eastward_wind_due_to_advection_by_northward_transformed_eulerian_mean_air_velocity,Tendency of Eastward Wind Due to TEM Northward Advection and Coriolis Term,"zonal mean; hence YZT
",real,['atmos'],['EdayZ'],['day'],CMIP6 CMOR variable,,,dynvar_basic,8b97f9a0-4a5b-11e6-9cd2-ac72891c3257,898,,DynVarMIP [DYVR_daily_b],,['DynVarMIP'],1120,919,898,,,,,,,,,,,,,
recJ8b4fdV0MfYNtw,ImonAnt.rsus,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,"The surface called ""surface"" means the lower boundary of the atmosphere. ""shortwave"" means shortwave radiation. Upwelling radiation is radiation from below. It does not mean ""net upward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.
",real,"['landIce', 'land']",['ImonAnt'],['mon'],CMIP6 CMOR variable,,,landice_antarctica_allfreq,d5b33874-c78d-11e6-9b25-5404a60d96b5,1017,,ISMIP6 [ImonAnt],,['ISMIP6'],1017,1420,1463,up,,,,,,,,,,,,
recJAEqRf9Y33ispZ,Amon.ps,surface_air_pressure,Surface Air Pressure,"not, in general, the same as mean sea-level pressure
",real,['atmos'],['Amon'],['mon'],CMIP6 CMOR variable,,,"baseline_monthly, radiativeforcing_monthly, DAMIP_monthly, paleodata_assimilation, paleo_land_atmosphere_surface, DCPP_Wider, SO_BGC-cloud_met_monthly, CFMIP_baseline, paleo_permafrost",bab47b56-e5dd-11e5-8482-ac72891c3257,5,,Amon ((isd.003)),"['DCPP', 'VIACSAB']","['CFMIP', 'CMIP', 'CMIP5', 'PMIP', 'VIACSAB']",35,268,5,,,,1 checked out of 1,,,,,,,,,
recJC2Axo7qQmszwF,SIday.sithick,sea_ice_thickness,Sea Ice Thickness,"Actual (floe) thickness of sea ice (NOT volume divided by grid area as was done in CMIP5)
",real,"['seaIce', 'ocean']",['SIday'],['day'],CMIP6 CMOR variable,,,"seaice_state_daily_basic, surgemip_variables, DCPP_Wider, CFMIP_baseline, seaice_gcos_ecv",d243ba76-4a9f-11e6-b84e-ac72891c3257,154,,SIMIP [seaiceday],,"['CMIP5', 'LS3MIP', 'SIMIP']",204,266,154,,,,,,,,,,,,,
