,Compound Name,CF Standard Name (from MIP Variables),Title,Description,Type,Modeling Realm,Table,Frequency,Status,Theme,Atmosphere author team review,CMIP7 Variable Groups,UID,Min Rank,Processing Note,Provenance,Priority 2 (CMIP6 - OLD,Priority 1 (CMIP6) -- OLD,Rank by File Count,Rank by Volume,Rank by Submissions,Positive Direction,Impacts & adaptation author team review,Priority 3 (CMIP6 - OLD),Variable is included in ESM-BCV v1.3,Ocean & sea-ice author team review,Cross-thematic team review,Cross-thematic group review comment,Land & land-ice author team review,Priority 2 (CMIP6),Priority 1 (CMIP6),Atmosphere review comment,Priority 3 (CMIP6),Earth system author team review
recZzPDSYKtHQqHoo,E3hr.rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,"TOA outgoing longwave radiation
",real,['atmos'],['E3hr'],['3hr'],CMIP6 CMOR variable,,,clouds_basic_average,8bb0a946-4a5b-11e6-9cd2-ac72891c3257,272,,HighResMIP [3hr_cloud],['HighResMIP'],,581,272,898,up,,,,,,,,,,,,
recZzR3ubS2xKpZbB,Emon.cLitterShrub,litter_mass_content_of_carbon,Carbon Mass in Litter on Shrub Tiles,"""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Content"" indicates a quantity per unit area. The sum of the quantities with standard names surface\_litter\_mass\_content\_of\_carbon and subsurface\_litter\_mass\_content\_of\_carbon has the standard name litter\_mass\_content\_of\_carbon.
",real,['land'],['Emon'],['mon'],CMIP6 CMOR variable,,,,e70703a6-aa7f-11e6-9a4a-5404a60d96b5,1151,,C4MIP [C_LandT2],['C4MIP'],,1151,1690,1599,,,,,,,,,,,,,
reca0zIaihRJPqnVC,Omon.intppdiat,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diatoms,Net Primary Organic Carbon Production by Diatoms,"Vertically integrated primary (organic carbon) production by the diatom phytoplankton component alone
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,"SO_BGC-cloud_BGC_monthly, c4mip_ocean_carbon_cycle_tier2, marine_bgc_fishmip",baa05d2e-e5dd-11e5-8482-ac72891c3257,503,,Omon ((isd.003)),"['C4MIP', 'CMIP5']","['CMIP', 'VIACSAB']",503,676,692,,,,,,,,,,,,,
reca4pmnzHDoCaqOm,ImonGre.litempbotgr,land_ice_basal_temperature,Basal Temperature of Grounded Ice Sheet,"quantity averaged over grounded ice sheet
",real,['landIce'],['ImonGre'],['mon'],CMIP6 CMOR variable,,,landice_greenland_allfreq,d5b28ce4-c78d-11e6-9b25-5404a60d96b5,9999,,ISMIP6 [ImonGre],['ISMIP6'],,,,,,,,,,,,,,,,,
reca5L8OFm0kQQuwy,CF3hr.ts,surface_temperature,Surface Temperature,"Surface temperature (skin for open ocean)
",real,['atmos'],['CF3hr'],['3hrPt'],CMIP6 CMOR variable,,,"cfmip_3hr, transport_impacts_essential",7b309c62-a220-11e6-a33f-ac72891c3257,562,,RFMIP [aero_irf],,"['CFMIP', 'RFMIP']",1145,562,692,,,,,,,,,,,,,
reca5hubf5YOToB4M,6hrPlev.prhmax,precipitation_flux,Maximum Hourly Precipitation Rate,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.
",real,['atmos'],['6hrPlev'],['6hr'],CMIP6 CMOR variable,,,DCPP_Wider,9104b268-267c-11e7-8933-ac72891c3257,675,,DCPP [DCPP-6hr],,,1356,675,1681,,,['DCPP'],,,,,,,,,,
reca5l9Sag5sCWA71,SIday.sitemptop,sea_ice_surface_temperature,Surface Temperature of Sea Ice,"Report surface temperature of snow where snow covers the sea ice.
",real,['seaIce'],['SIday'],['day'],CMIP6 CMOR variable,,,"seaice_state_daily_basic, seaice_state_daily_advanced, seaice_budget_energy_daily, DCPP_Wider, seaice_gcos_ecv",d243c692-4a9f-11e6-b84e-ac72891c3257,264,,SIMIP [seaiceday],,['SIMIP'],501,435,264,,,['DCPP'],,,,,,,,,,
reca61NxQFHP1zq95,AERday.zg1000,geopotential_height,Geopotential Height at 1000hPa,"Geopotential height on the 1000 hPa surface
",real,['atmos'],['AERday'],['day'],CMIP6 CMOR variable,,,aerchemmip_2d_daily,19bdf1c6-81b1-11e6-92de-ac72891c3257,498,,AERday ((isd.003)),,['AerChemMIP'],707,498,622,,,,,,,,,,,,,
reca6SPSPshDQ99WE,day.mrro,runoff_flux,Total Runoff,"computed as the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell.
",real,['land'],['day'],['day'],CMIP6 CMOR variable,,,"temperature_variability_daily_lowpriority, biodiv_freshwater_daily, biodiv_land_daily, WaterResources_daily, CFMIP_baseline",bab17cb2-e5dd-11e5-8482-ac72891c3257,119,,day ((isd.003)),,"['CMIP5', 'LS3MIP', 'VIACSAB']",134,213,119,,,,,,,,,,,,,
reca71bh3dVNnYCVo,day.tslsi,surface_temperature,Surface Temperature Where Land or Sea Ice,"Surface temperature of all surfaces except open ocean.
",real,['land'],['day'],['day'],CMIP6 CMOR variable,,,"CFMIP_baseline, cordex [test]",babb0eb2-e5dd-11e5-8482-ac72891c3257,209,,day ((isd.003)),,"['CMIP', 'CMIP5', 'CORDEX', 'PMIP', 'VIACSAB']",251,345,209,,,,,,,,,,"CFMIP, CMIP, CORDEX, DAMIP, HighResMIP, PMIP, VIACSAB, VolMIP",,,
reca7CescXCCOOetx,CFsubhr.lon,longitude,Longitude,"Longitude is positive eastward; its units of degree\_east (or equivalent) indicate this explicitly. In a latitude-longitude system defined with respect to a rotated North Pole, the standard name of grid\_longitude should be used instead of longitude. Grid longitude is positive in the grid-eastward direction, but its units should be plain degree.
",real,['atmos'],['CFsubhr'],['fx'],CMIP6 CMOR variable,,,"cfmip_subhr, CFMIP_cfSites",a95605f6-817c-11e6-a4e2-5404a60d96b5,9999,"Note that the CF convention and CMOR2 require that this field will be included in each file that contains a variable that is a function of the ""site"" dimension, so there is no need to save this field by itself.  It is included here simply to indicate that longitudes should be stored for the site grid in each file written.
",CFsubhr ((isd.003)),,['CMIP5'],,,,,,,,,,,,,,,,
reca7MlyZivPaq2Jm,Omon.bfeos,mole_concentration_of_particulate_organic_matter_expressed_as_iron_in_sea_water,Surface Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,"sum of particulate organic iron component concentrations
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,,c919d3d0-c5e8-11e6-84e6-5404a60d96b5,898,,Omon ((isd.003)),"['CMIP5', 'VIACSAB']",,1157,974,898,,,['CMIP5'],,,,,,,,,,
reca9QwH4w7ufENA4,E1hr.prc,convective_precipitation_flux,Convective Precipitation,"Convective precipitation flux
",real,['atmos'],['E1hr'],['1hr'],CMIP6 CMOR variable,,,,8baec3f6-4a5b-11e6-9cd2-ac72891c3257,182,,HighResMIP [1hrLev],,['HighResMIP'],575,182,622,,,,,,,,,,,,,
recaAD3hrL7PsoOC4,6hrPlevPt.zg925,geopotential_height,zg925,"Geopotential Height at 925 hPa, 6 hourly instantaneous
",real,['atmos'],['6hrPlevPt'],['6hrPt'],New,['Atmosphere'],In progress,Synoptic_systems_low_priority,83bbfc42-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,,,,,,,,,
recaCZOJL5cQ1Ene4,Omon.ponos,mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,Surface Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,"sum of particulate organic nitrogen component concentrations
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,,c919b7b0-c5e8-11e6-84e6-5404a60d96b5,839,,Omon ((isd.003)),"['CMIP5', 'VIACSAB']",,843,956,839,,,['CMIP5'],,,,,,,,,,
recaChJQWHeJWmfRl,Oclim.tnkebto2d,tendency_of_ocean_eddy_kinetic_energy_content_due_to_parameterized_eddy_advection,Tendency of Ocean Eddy Kinetic Energy Content Due to Parameterized Eddy Advection,"Depth integrated impacts on kinetic energy arising from parameterized eddy-induced advection. For CMIP5, this diagnostic was 3d, whereas the CMIP6 depth integrated diagnostic is sufficient for many purposes and reduces archive requirements.
",real,['ocean'],['Oclim'],['monC'],CMIP6 CMOR variable,,,,a92a06b8-817c-11e6-a4e2-5404a60d96b5,9999,"2-d time dependent field
",Oclim ((isd.003)),,,,,,,,['CMIP5'],,,,,,,,,,
recaEhJLo0r91578Y,IyrGre.libmassbffl,land_ice_basal_specific_mass_balance_flux,Basal Specific Mass Balance Flux of Floating Ice Shelf,"quantity averaged over floating land ice
",real,['landIce'],['IyrGre'],['yr'],CMIP6 CMOR variable,,,landice_greenland_allfreq,d5b3b948-c78d-11e6-9b25-5404a60d96b5,1765,,ISMIP6 [IyrGre],['ISMIP6'],,1825,1837,1765,,,,,,,,,,,,,
