,Name,Title (from Variables (Import)),Model Count,Rank,Download Volume,Rank 2,Download Count,Rank 3,Min Rank,Field 10,Field 11,Field 12,Field 13,CMOR Variables (Import),Variables,Review Comment,In C3S
recYAXLx3Qj1ok0TP,CFsubhr.rlut,TOA Outgoing Longwave Radiation,10.0,956.0,170.07,1012.0,413,1431.0,956,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,"at the top of the atmosphere (to be compared with satellite measurements) [This table includes the 2-D variables listed in the ""Amon"" spreadsheet, omitting, however, the daily maximum and minimum temperatures.  All variables should be reported as synoptic fields, not daily means.]","Instantaneous value (i.e. synoptic or time-step value), Site (121 specified sites) [S-na] [apt-tpt]",CFsubhr.rlut,CFsubhr.rlut,,
recYC7GzoYFifNkWs,AERmon.cltc,Convective Cloud Cover Percentage,17.0,622.0,137.8,1065.0,6078,604.0,604,convective_cloud_area_fraction,Convective Cloud Cover Percentage,Convective cloud fraction,"Temporal mean, Global field (single level) [XY-na] [am-tm]",AERmon.cltc,AERmon.cltc,,
recYDECJ1LydeiFf9,E3hrPt.rsucsbnd,,,,,,,,9999,,,,,,E3hrPt.rsucsbnd,"Requested, not published",
recYELtitD7yYW5di,fx.orog,Surface Altitude,78.0,62.0,4.06,1687.0,33134,231.0,62,surface_altitude,Surface Altitude,"height above the geoid; as defined here, 'the geoid' is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Reported here is the height above the present-day geoid (0.0 over ocean).","No temporal dimensions ... fixed field, Global field (single level) [XY-na]",fx.orog,fx.orog,,True
recYEWXpNaNgF9pCy,CFsubhr.cct,Air Pressure at Convective Cloud Top,8.0,1159.0,49.99,1311.0,124,1609.0,1159,air_pressure_at_convective_cloud_top,Air Pressure at Convective Cloud Top,"Where convective cloud is present in the grid cell, the instantaneous cloud top altitude should be that of the top of the highest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period. [This table includes the 2-D variables listed in the ""Amon"" spreadsheet, omitting, however, the daily maximum and minimum temperatures.  All variables should be reported as synoptic fields, not daily means.]","Instantaneous value (i.e. synoptic or time-step value), Site (121 specified sites) [S-na] [apt-tpt]",CFsubhr.cct,CFsubhr.cct,,
recYGtfj2VkWd4UrU,CF3hr.clt,Total Cloud Cover Percentage,6.0,1295.0,17.3,1499.0,20,1745.0,1295,cloud_area_fraction,Total Cloud Cover Percentage,"for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.","Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amn-tpt]",CF3hr.clt,CF3hr.clt,,
recYIz9N9U11Zl3Pf,Omon.frfe,Iron Loss to Sediments,11.0,898.0,250.43,896.0,3853,798.0,798,minus_tendency_of_ocean_mole_content_of_iron_due_to_sedimentation,Iron Loss to Sediments,'Content' indicates a quantity per unit area.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  'tendency_of_X' means derivative of X with respect to time.,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]",Omon.frfe,Omon.frfe,,
recYJ6WnoJSjBayf4,Eday.et,,2.0,1681.0,101.08,1140.0,62,1669.0,1140,na,na,na,,,,"In ESGF, not requested",
recYKAjRsj9qsabQr,AERmon.ztp,Tropopause Altitude Above Geoid,28.0,382.0,207.71,959.0,8550,495.0,382,tropopause_altitude,Tropopause Altitude Above Geoid,2D monthly mean thermal tropopause calculated using WMO tropopause definition on 3d temperature,"Temporal mean, Global field (single level) [XY-na] [am-tm]",AERmon.ztp,AERmon.ztp,,
recYKMDtJJPQyMsMm,Odec.sos,Sea Surface Salinity,5.0,1401.0,19.79,1477.0,219,1531.0,1401,sea_surface_salinity,Sea Surface Salinity,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand.  [Report on native horizontal grid as well as on a spherical latitude/longitude grid.]","Temporal mean, Global field (single level) [XY-na] [amse-tmn]",Odec.sos,Odec.sos,,
